Unidade da Federação,2023/Ago
35 São Paulo,400.54755364
31 Minas Gerais,220.78883931000001
41 Paraná,156.00869498
43 Rio Grande do Sul,117.94044816
33 Rio de Janeiro,114.39538104
29 Bahia,102.56151184999999
42 Santa Catarina,92.24957198
26 Pernambuco,88.75277912
23 Ceará,51.50113705
52 Goiás,47.49383659
15 Pará,44.52007427
32 Espírito Santo,41.82290519
21 Maranhão,35.677149920000005
24 Rio Grande do Norte,32.21636368
53 Distrito Federal,30.961244280000003
25 Paraíba,28.576334550000002
50 Mato Grosso do Sul,27.25042475
13 Amazonas,23.61516103
22 Piauí,21.3896314
51 Mato Grosso,20.56487502
28 Sergipe,15.94451274
27 Alagoas,12.73963466
11 Rondônia,11.86133649
12 Acre,4.56128178
14 Roraima,4.2365268899999995
16 Amapá,3.50366651
17 Tocantins,0.72157985
