Unidade da Federação,2008/Jan,2008/Fev,2008/Mar,2008/Abr,2008/Mai,2008/Jun,2008/Jul,2008/Ago,2008/Set,2008/Out,2008/Nov,2008/Dez,2009/Jan,2009/Fev,2009/Mar,2009/Abr,2009/Mai,2009/Jun,2009/Jul,2009/Ago,2009/Set,2009/Out,2009/Nov,2009/Dez,2010/Jan,2010/Fev,2010/Mar,2010/Abr,2010/Mai,2010/Jun,2010/Jul,2010/Ago,2010/Set,2010/Out,2010/Nov,2010/Dez,2011/Jan,2011/Fev,2011/Mar,2011/Abr,2011/Mai,2011/Jun,2011/Jul,2011/Ago,2011/Set,2011/Out,2011/Nov,2011/Dez,2012/Jan,2012/Fev,2012/Mar,2012/Abr,2012/Mai,2012/Jun,2012/Jul,2012/Ago,2012/Set,2012/Out,2012/Nov,2012/Dez,2013/Jan,2013/Fev,2013/Mar,2013/Abr,2013/Mai,2013/Jun,2013/Jul,2013/Ago,2013/Set,2013/Out,2013/Nov,2013/Dez,2014/Jan,2014/Fev,2014/Mar,2014/Abr,2014/Mai,2014/Jun,2014/Jul,2014/Ago,2014/Set,2014/Out,2014/Nov,2014/Dez,2015/Jan,2015/Fev,2015/Mar,2015/Abr,2015/Mai,2015/Jun,2015/Jul,2015/Ago,2015/Set,2015/Out,2015/Nov,2015/Dez,2016/Jan,2016/Fev,2016/Mar,2016/Abr,2016/Mai,2016/Jun,2016/Jul,2016/Ago,2016/Set,2016/Out,2016/Nov,2016/Dez,2017/Jan,2017/Fev,2017/Mar,2017/Abr,2017/Mai,2017/Jun,2017/Jul,2017/Ago,2017/Set,2017/Out,2017/Nov,2017/Dez,2018/Jan,2018/Fev,2018/Mar,2018/Abr,2018/Mai,2018/Jun,2018/Jul,2018/Ago,2018/Set,2018/Out,2018/Nov,2018/Dez,2019/Jan,2019/Fev,2019/Mar,2019/Abr,2019/Mai,2019/Jun,2019/Jul,2019/Ago,2019/Set,2019/Out,2019/Nov,2019/Dez,2020/Jan,2020/Fev,2020/Mar,2020/Abr,2020/Mai,2020/Jun,2020/Jul,2020/Ago,2020/Set,2020/Out,2020/Nov,2020/Dez,2021/Jan,2021/Fev,2021/Mar,2021/Abr,2021/Mai,2021/Jun,2021/Jul,2021/Ago,2021/Set,2021/Out,2021/Nov,2021/Dez,2022/Jan,2022/Fev,2022/Mar,2022/Abr,2022/Mai,2022/Jun,2022/Jul,2022/Ago,2022/Set,2022/Out,2022/Nov,2022/Dez,2023/Jan,2023/Fev,2023/Mar,2023/Abr,2023/Mai,2023/Jun,2023/Jul,2023/Ago
35 São Paulo,91.67847348000001,148.67752682,156.08726922999998,161.22712543,187.11939764,187.29112607,194.39839948,184.85451634999998,188.63635955,179.706467,167.99035253,191.85731783,182.79719434999998,186.85529481999998,212.77785948,203.18611400999998,217.04053169999997,217.19524991,220.76115751,232.53672014,220.29297366,221.98795133000002,220.1174809,209.0944054,214.56577466,203.11617318999998,227.24838006000002,231.54359866,230.18880342,226.02107213999997,229.66264334000002,234.53061812,233.45345342,221.12711941999999,239.79004549,236.92914468,227.53333727,231.06220694,241.94746216,236.44341678,244.46465796,234.1794053,250.90014356,245.43315622999998,245.47747267,244.20432499,244.07412917,242.36497983,235.83996805,230.71605424,249.73396244,240.38016602000002,253.23591628,241.12590813999998,250.4330884,259.62768085,246.70009016999998,250.01566422,243.22892976,227.46119324,247.84871572999998,241.9537329,247.86586202,266.01547279,270.78316981,259.41740652,268.76529472000004,279.84202594,272.32427888,278.88185529000003,256.75283037,246.88113419,265.70930606,255.68190891999998,259.59710391,266.47498523,278.06899758,271.41766279,290.42094886,291.00994202,278.61148520999996,279.89080412,268.99997541000005,262.12568041,269.01843046,253.47643409,278.01632066,274.32533551999995,279.33405666000004,279.84462327999995,285.37092013,283.869182,278.32324775,272.98613682999996,261.80599629,268.85110912,257.98881437,261.13286595,276.56789305,273.41222888,276.00634857,288.61607772,289.93969269999997,285.5043735,280.62565152999997,271.08091737,270.45904205,273.72226798,265.66760228,253.80403003,284.40544335000004,267.26097412,296.85109299,270.59641247,297.88136174,297.3093459,280.81375304,285.74059374,280.76883563,280.08050010000005,279.20378281,269.52484481,286.77573392,289.71179116,293.10428174000003,287.92214867,291.52492205,298.70220456,282.73908675999996,295.67165907,283.94781542000004,283.1790408,298.18005665,279.42720424000004,288.81939639,297.83467024000004,303.88904922,293.5877095,305.0338428,313.86871255,298.54786827,310.847061,292.85169872,284.74977051999997,304.51171933999996,288.87227389,297.3596797,251.331659,272.49337335,306.78176076,367.67219786000004,350.13545822000003,354.16525171,345.96109512,335.88067124,331.04371753,356.93391283999995,351.29122512,408.73246893,478.2917665,514.25690528,527.43929173,520.5714251,466.4200096,401.47477191,359.86504338,343.77927762,338.60776296,342.12368908999997,337.66804747000003,346.40768962,331.96276525,336.74753064,326.46014682,361.46829074,363.32726708999996,366.90578958,370.18356225,356.5429244,351.26536719,356.6262787,335.62983189,377.85840591000004,354.16046956,365.197239,387.46624101,384.88269914,400.54755364
31 Minas Gerais,45.67165976,70.19403709999999,79.23133695,77.13653758,80.55444063,94.75852283,85.36006411,84.72252809999999,84.60175795,85.55978945999999,78.32994711,86.91774155,91.37430525,90.15367261,95.29059154000001,94.09121177,99.07684409999999,96.18918242000001,102.75435458,100.08006268000001,96.91107538,97.95644066,100.72627956000001,95.35439087,99.01764665,91.51936096,101.60209109,102.02085418,103.34651908,102.48925742,104.42765572,104.33453258,102.05742134,102.29649662,104.62473926999999,106.02953634,102.84890627,103.09709031999999,107.14889931,109.39595679,110.96359817,108.79803284,116.88281672,115.8195748,113.94191709,112.26670340999999,110.32010512000001,110.24740376999999,112.99903401,105.36589859,119.32055756999999,111.50809776,121.91615151,118.6209769,121.07190091,122.66087669,119.91276726000001,121.32910034999999,113.62925971,114.18046013,119.84149771,112.61068551999999,121.48368365,124.22369786,127.14929072,126.77800257999999,133.37128756,131.60992958,128.7820176,135.02774221,130.06509745,127.03034034000001,136.49378375999999,129.56705645,134.32794858000003,128.63929594,150.03140109999998,136.12807687,143.61229168,141.14414069999998,140.83537794,143.61171715999998,142.98281959,131.46675703,135.05658303,133.80397556,138.61770125,140.00598133000003,144.74891083,144.90353807,144.89320549,138.30990527,144.31982580000002,137.8033354,136.74075797,135.73588304,133.99019349,129.42738101,141.28562703999998,135.37067613999997,139.13954495,145.84398935,141.6227249,142.81072959,138.55765519,132.90550936,133.81159309999998,143.17436393,139.00044694,131.30632684,145.82066537,135.72087919,147.51645071000002,143.28410388,146.84963628999998,152.64570334,144.48857405,143.93947231,145.12333934,142.84856553,143.15848697,136.70514341,149.82996856,149.89450375,151.54689783,151.51420161000001,156.68021893,154.28149501,153.86788829,151.22831867,144.86765644,146.71534661,154.06664981,147.9688528,153.45979069,156.7774954,162.96301415,154.83008649,166.20747107,164.28707169999998,156.56788287999998,165.12078019,153.00637154,153.90164372,159.28045389,150.23712146,142.89733308,133.41670294,133.52047753,139.95301564,165.96223941,171.27271804,175.36240159,178.23645029,175.34216058,174.88772308,185.69608575,189.11738031000002,214.17500028,243.30833831,254.11540221,268.78773744,261.66346973,245.94854422999998,213.19653953,196.44257102,189.69262418,185.05257052000002,181.39102177,186.28994014,191.74270712,184.24936064,192.73303307,185.57772384999998,196.91518341999998,207.9352401,199.76197638999997,197.70546134,194.51817218,207.42164511000001,194.61773994,179.42459062,211.80336749,197.3156045,210.62926912999998,215.24331019,217.54515199000002,220.78883931000001
41 Paraná,38.26634746,55.38467052,53.80131885,52.460306689999996,54.419620710000004,57.811688479999994,58.09424183,56.982774899999995,57.54908226,57.12188741,53.11793661,63.91090946,64.52306604,60.78372739,65.63357331,64.75937578,65.90221541,66.280753,69.15860332,68.25657341,65.84382473,66.39441226,66.39555819,67.07081417,65.49281875,62.23772445,70.70253778,70.37469361,72.05818069,71.93554782,72.37186939,74.70805569,72.78590890000001,72.85175047,75.59572552,74.36609698000001,75.11031347,72.12861695000001,73.75998281999999,76.59903033,75.66065268000001,77.25817598,80.84205159,80.61751985,75.54967467,77.593673,76.54447818999999,77.25830328,76.03953059,72.80788201,77.07688324,76.1435451,83.33699084,80.64952102,81.9275879,84.13006375,78.5369505,83.28562169,81.59470293000001,76.27083245,79.50003893,75.02818423000001,80.70373,87.10695567,87.39940672,86.69743595999999,87.76969809,88.05716722,90.36563446,88.12249289,87.59115975,82.58889173,83.58461731999999,85.43576212,83.64116075,85.20595597,90.02873518999999,87.87095245,90.69840725,93.64332976,93.53998304000001,93.51360552,90.92089747,85.09367696,86.81558094,84.17629314,91.07104829000001,90.30534586,92.36393223,93.87251726000001,95.71822992,98.91607085,95.12884506,96.18682516,96.160859,96.04873640000001,93.78325343,93.08482751999999,100.05004115000001,98.38285534,104.54390151999999,103.37708272,108.34043709000001,106.45544892,107.33620373999999,104.80509988,102.24428005,102.21798144,101.33665886,100.90745785,108.92232046,108.70287603,111.36225915,110.69574967,116.35924554,117.87230911,111.87837952,115.33202847,114.66902147,115.17390832,118.79955986,110.30781883,116.63018899,120.06103248000001,121.36073368000001,122.17461888,124.61025504000001,127.87448235,123.93302451000001,125.31684405,125.31733668000001,117.52876793,122.46091804000001,119.83650637999999,123.28681001999999,120.17720218000001,126.48177297,125.52857151,125.97890759,126.17453645,126.96633894,131.58768374,127.09931624,117.90582673,122.35748956,127.01021852,117.31701592,94.6045413,107.50619476,96.98198322,109.72066359,129.52922248000002,122.70226326000001,129.64787397,126.88036287,121.77050075,123.53353258,133.64793967,141.40358462999998,156.54458057,166.22987658000002,179.77727375,183.04311413999997,178.43946179,165.43198474000002,156.10972025,148.54555071000001,135.38378489,135.96353982,127.29062937,136.14215088,133.79682791,142.76015685,132.97781952,139.70926081,142.17391439,144.27171116,145.79808366999998,129.85513082,151.28515255000002,138.75758077,136.82614113999998,148.65295593000002,142.05721655000002,151.65081243,146.34542447,149.67084874,156.00869498
43 Rio Grande do Sul,30.93132546,57.36342001,51.54779407,56.67333849,48.39773307,52.413429619999995,56.636376979999994,56.113054700000006,55.356224299999994,53.63771313,53.69950608,58.73037958,57.629317060000005,58.77908802,63.366430890000004,62.20023097,61.68382468,62.4953639,64.61427182999999,66.45744534,66.42500936,65.78242872999999,63.71454187,64.48849388000001,66.3041685,61.52741952,62.49052238,66.81441339999999,67.90051835,64.79972675,68.51823207,68.73129703000001,66.17496916,66.89130947999999,67.45643473,67.09630252000001,60.75414432,58.88433985,66.2053644,61.54986309,67.00556420000001,72.79141149,74.30086133,67.83746386,70.06441436,70.23236293000001,72.55459298000001,64.88187975,61.61186588,65.53590182,74.33626007,67.54939598,72.17989988,76.77347506,77.77424178,76.49951426000001,69.76491217,64.83999960999999,75.45933865,63.899563549999996,74.16275817,71.19861175,82.49779506,83.50765535,86.81970256,76.19204915,86.98556629000001,87.18826831999999,79.98857509,82.13613670999999,79.8363663,80.08978932,78.8572346,78.53700846,79.39420890000001,83.27872434999999,84.49427865000001,85.82839240999999,90.61081410999999,90.06846413,89.05005167,94.00589804,87.7334712,84.12218575,85.07971414000001,82.13357024,88.51705503,91.3014525,89.89541564,92.11433188,94.94332081,95.06392101,89.86724770000001,91.02569047,92.84163381,83.9521877,80.1303148,84.81106812,86.49162315000001,84.05230571999999,87.84014172,88.08836762,92.4709252,94.27257331,77.46603909999999,96.93458189,86.67813126,87.39956681,81.10956927,73.21203039,84.03398511,83.23868079,94.75626763,89.58582381000001,96.1745337,92.17617061,94.22836083,90.65501578,91.2427207,82.93474693,88.81706636,80.57228845,87.41989925,89.39693552,88.14825161,90.75450448999999,89.09369014,94.01088897,93.66472468,90.02594536,93.08129231000001,89.05071234,89.66470323,89.2593065,85.58575475,95.15278647,94.16383823000001,92.23733345999999,102.29831476000001,100.26014529999999,95.91710656000001,102.33161505,93.97190479000001,90.77541812999999,94.90833674,91.43794091,102.87613283,83.00031802,82.38177495000001,86.09250224,100.57928765000001,102.60996559,104.40101954000001,117.45829246,108.85389098,112.06664679000001,120.18549129,111.74552625,133.99852005,144.16068475,147.20006751,152.12578063,153.14629286000002,137.56145981,122.94434179000001,114.70591327,115.17187258,114.40209861,102.76421997,105.94119018,108.32012566,103.64560766,106.12275551,106.59834958,108.7171682,111.84009246,112.56236240999999,114.51690072,107.81596043,109.41724051,111.65979392,99.58987033,111.40703388,106.96012159,112.36511276,113.73440981,116.90397793000001,117.94044816
33 Rio de Janeiro,23.02525852,28.39431093,44.56706294,44.05460482,44.911021149999996,48.05621224,49.87237935,50.9127066,49.270352759999994,46.43491238,39.90734752,50.58161399,46.20340372,47.09428097,50.80889361,49.18804537,54.03872715,50.72081882,55.050238310000005,56.20271173,52.02772177000001,52.06374846,54.30457103,49.771259,47.245572100000004,50.65591479,56.116554619999995,52.07090049,59.39696931,56.8661242,59.8072971,60.27464613,56.8496935,56.972506409999994,56.22639298,55.76672297,54.46851371,54.49090851,57.18987936,57.53053448,59.41508281,57.50036018,58.71937431,57.72544431,55.988073560000004,57.06717347,56.00778796,58.50036163,51.49087625,51.2188297,59.05088879,55.713082390000004,59.30854857,60.94625626,62.57027517,62.562491189999996,57.81951513,60.68011132,55.508626729999996,52.93800754,54.49849726,54.2415429,58.10334377,58.179861280000004,62.95171789,59.378002020000004,64.39711539,63.68899865,62.54962421,61.10522932,60.72356183,58.60233651,58.57949592,60.08040285,57.850576520000004,62.32553505,65.79212861,61.27660347,68.29507812,69.88317298,68.0728422,69.18037979,64.12203395,60.51792303,62.439111759999996,63.737825009999995,67.666582,68.28485149,68.75129165999999,68.00907162,74.28446806999999,68.98557896,69.99497781999999,70.135244,67.37566722,65.07360621,65.22896796,63.37721974,68.53010914000001,65.49107188,64.78853597,64.64732221,68.97499476,68.88955591,65.7228669,64.25409002,63.29543125,67.08213655,62.0620743,63.262857880000006,70.61405049,66.8316413,74.20370815000001,72.24865715,75.30260285,77.71742167000001,72.62237214,74.95305626000001,72.54826505,71.17651415,72.53067581,70.91096445000001,75.60173247,75.99817343000001,78.03324514,77.68341079999999,83.73389275,80.45378286,77.38297988,79.40459767,75.07591242000001,71.28643183,80.14080194,73.53557078,76.15131063,75.8534534,86.63716869,80.12574775,89.92459065999999,85.72086009,82.9711883,86.39249058,80.84367161,78.57984929999999,83.18625872,76.11620322,77.00463747,71.40462367,85.12366273,91.73535899,99.33135201,96.33961599,88.30523993999999,86.99564935,86.86811143999999,90.4839094,94.36035253,92.97706851000001,113.35499598,119.30174074,134.13445537,133.31317239,132.52422590999998,134.54836576,130.08868639,117.93404037,106.30174261,105.25049933,106.48307324,100.94113087999999,101.37477764,102.93227596,110.53953926999999,104.19502984,106.97738004,114.37533640000001,110.95059723,111.31779903,107.64242647,107.40725087,107.58277064,99.09673334,113.91775704999999,108.88145889,118.84575801999999,118.75528166,124.22785123999999,114.39538104
29 Bahia,21.21152247,28.18930495,34.18148352,39.02693413,42.94956682,47.02597204,47.48169517,46.93124828,44.88337931,41.92001146,37.52474474,44.87893674,39.95577696,43.11170775,49.77994778,50.01460282,48.790551799999996,49.132821820000004,51.23996887,52.45824642,53.839068590000004,51.43718965,51.51141922,49.83775553,49.52911274,47.153215380000006,53.61197189,54.05917628,51.822435060000004,48.19372343,52.05593639,55.16948009,51.14946904,52.99886851,51.11019955,49.79738031,50.76256042,49.50609515,53.676261909999994,56.23082944,51.27730185,52.55400719,57.66534591,55.39487104,55.85381524,55.020722469999995,56.42695802,52.119762310000006,51.471366429999996,51.583789939999996,61.114469799999995,56.47086017,58.95634268,57.28613346,57.57966612,58.85018701,55.7218901,59.17469998,54.834519310000005,50.80558516,50.91873011,48.031764259999996,54.68948304,60.34683948,62.215989210000004,59.46805113,65.90425649000001,64.80500717,62.744830560000004,65.84512234,59.14121679,58.29002286,63.76781164,59.91519191,59.68168197999999,60.92067182,61.3510924,60.026773479999996,65.89725307,66.45674035,67.96355789,67.90487833,62.281320060000006,61.537833979999995,63.4028509,57.53341571,65.86206538,61.00210589,64.94146992,64.00063385,66.95675365999999,70.1450591,70.37519132999999,70.21272859999999,69.46756302,61.6972711,64.49158281,61.03029644,67.59652273,68.94679731000001,69.70366934,67.42769306999999,70.49994120000001,71.27514255,72.31690737000001,70.32205689,63.62032818,62.906303189999996,64.39723543,64.63468608,68.69038093,65.6269585,70.17683367000001,72.87096412000001,63.84539583,63.75654298,72.19577568999999,78.40944723,71.98796864,64.64837369,68.04865342000001,64.47503936999999,67.30193564,70.13819099,72.01563815,68.21332306999999,73.41254278,74.50587373,71.52588245,74.89924226000001,73.89880266,67.08399692,69.94390344,63.0379872,70.63131303,75.65687101,74.93090209,72.31195553,78.14595878,79.46533634999999,75.61248942,75.33307855,73.5970192,71.0085789,72.99164423,70.07618391,73.15645975,62.67315689,64.09797052,69.71140248,84.23428758,83.50532126,80.58049811,81.28209164,86.32390087,85.89802144,80.04195106,82.38538511,102.01267419,115.56588756999999,115.55338345999999,129.33676401,133.185386,110.54847015,103.74256079000001,91.72689451000001,89.71263752,90.12117415,93.87094458,97.64978411,95.47682639,86.35573153,80.25369463,80.75338832999999,85.08315034,92.59616323,94.37892090999999,93.11456614,88.52405615,88.45414358,90.28900425,84.97071718000001,91.83403170999999,90.23666837,99.53904073999999,96.75530893999999,106.03222498000001,102.56151184999999
26 Pernambuco,14.39394989,24.18140095,29.99130271,34.80619797,32.14798735,32.239094890000004,32.68564076,35.457038659999995,33.668261460000004,30.57974751,31.04983056,36.97845128,31.00921735,32.98918642,35.81657057,35.96925801,38.38136946,37.14796164,37.20003782,37.05038771,37.97106817,39.339518149999996,38.448709,36.96171824,35.05250708,32.87099766,36.49046192,39.18580219,39.38846204,38.249606840000006,36.95572387,40.351864490000004,37.22990782,40.700808630000004,41.62591129,39.731003009999995,38.31465592,38.70497494,38.27047993,43.296812530000004,43.379503119999995,42.37459003,44.08991721,44.593739899999996,42.57410091,46.41456503,42.33262796,41.80619996,42.366739759999994,40.65714753,42.35677579,46.04910738,45.870310229999994,47.260740979999994,45.9174286,46.32928268,45.91225555,45.95060084000001,48.13662277,45.18247426,45.9185102,46.28649891,49.97649224,51.8689683,55.17782924,54.07803735,55.0571401,56.9869573,57.16485107,59.698786840000004,53.07390375,59.82527268,53.574898270000006,54.289579090000004,53.29692453,57.13343818,60.49490481,58.518383,60.62540278,60.46897919,63.211650920000004,62.18362021,62.888953969999996,56.84123606,57.23481711,55.735690299999995,58.79639686,59.85008694,62.80394106,64.06728688,60.73952474,62.409022549999996,59.8087474,57.510985600000005,62.04953757,55.99743018,58.82423937,57.383866850000004,60.6544573,59.81302514,62.7066755,62.31815151,63.99667040999999,63.76608953,62.86417351,62.21842419,57.815722369999996,60.83205872,61.543259119999995,58.53023123,66.01143262,62.88862319,70.25795475,69.57337369,69.76282896,68.09932325,67.99968034999999,66.97889702,64.73422171,65.81992192,64.52974962,59.25835104,67.79266295000001,66.49147288,71.01402126,68.67913811,70.74182635,70.55434199,66.80605481,67.06761196000001,64.3756841,63.34781494,66.76718721,63.01203607,65.48562252,65.02687236,71.67520364,68.05217703,71.00275356,70.10517596,69.751772,73.23380515000001,69.91628852,65.70774038,70.16144176,64.82261622,66.22172751,49.24143042,58.98824140999999,64.30157628,74.91467743000001,77.24271806,71.76462017,66.58780149,78.93971608,72.31414197,83.92617717,78.21228277,87.95762827,103.99313151000001,123.65977559000001,125.97397541,115.60223215,104.02618365000001,85.58749039,81.91478871,82.83045606,88.12627427,90.92511676000001,94.77882425,79.64392887000001,80.15038211,80.06492264,74.12702487,79.8118979,83.90914584999999,78.26063101000001,75.61270859999999,74.23922420000001,84.01253679000001,76.8463304,71.03515375,81.96464669,75.79093242,81.51997409,83.10890762999999,83.07043743000001,88.75277912
42 Santa Catarina,16.50491345,25.65142911,26.74352489,27.181488260000002,26.84530818,29.90976204,30.78913584,31.25085433,30.01967693,31.95760359,25.11548486,30.778152010000003,35.33077638,29.0032334,34.66566111,33.835731439999996,35.240482920000005,34.5597921,37.81743439,37.25910698,37.38038293,35.782563689999996,37.34510577,33.88722081,35.9651112,30.4998288,35.10662949,38.01621579,36.07596256,36.549557799999995,37.41064446,39.238540969999995,38.08189014,38.78987744,39.82758398,38.8145575,36.41586391,36.72150861,37.99613234,38.42164432,42.83566288,41.189032409999996,41.758217710000004,41.68448118,40.922878170000004,43.20212753,42.47257209000001,39.32114615,40.492256090000005,37.02204467,41.48365571,39.78302617,43.80545591,44.04627927000001,44.667604829999995,47.34153684,43.3597458,45.15614664,41.57377933,39.21965132,42.289935799999995,40.63921168,43.59485316,48.62517822,48.118188700000005,47.911889439999996,50.57144843,48.955584630000004,50.82944452,51.49106829,51.68432802,48.372507219999996,47.99367886,47.28889703,49.01295227000001,48.05355967,51.823540539999996,52.05111163,54.23879501,58.563755119999996,57.99638657,55.71859657,52.62235152,50.64441358,51.654807119999994,49.24337232,50.77803859,53.0326906,52.43894012,55.88086836,58.5303045,56.69058783,57.88988742,55.73733822,53.674531439999996,54.16500662,51.12204459,51.19390771,53.003389119999994,55.05199999,58.46242306,57.7589608,56.65062557,59.50007333,57.82571751,57.782700399999996,54.98123042,50.52042022,56.88126374,49.307356229999996,57.799235229999994,53.44510328,60.33232513,58.39622286,57.2470115,60.46091842,56.26350769,56.88354313,55.60404398,54.055792100000005,53.71241895,51.29866832,58.770698100000004,60.288827829999995,60.659252200000005,62.213666200000006,61.278050719999996,62.73090687,61.63689045,63.32718797,59.76666418,55.70871329,58.896965310000006,57.42049179,58.25011095,61.028085600000004,64.9377094,63.50494554,66.59165675999999,68.43953879,67.13128674,67.94696252,62.69467496,62.400948719999995,60.25532683,63.69579411,61.83594053,51.632371909999996,55.188294770000006,57.89743661,61.26729789,65.46758593,71.78149481999999,69.41443170999999,68.61731644,70.96869728,72.9297756,75.92329576,85.89691499,88.35632595999999,89.92817851999999,101.87803446,104.26088192,110.32776401999999,93.56755926000001,91.78893347,86.88345351999999,85.03203625,76.62006264,75.73583554000001,74.6943289,71.89512075,75.54371983,73.64715931999999,81.73974945,82.93693031000001,80.81642365,82.62164643000001,81.48246589,81.78161596,80.28863632,80.60973572,82.48641906,81.83717712,86.45412992,87.72573557999999,87.34911140999999,92.24957198
23 Ceará,15.5398219,25.73510155,28.72462575,30.676457059999997,30.60445347,31.27239518,30.92539136,27.851438719999997,30.3627199,27.657898739999997,23.572202620000002,33.25131589,28.80908767,31.63167894,36.93912091,34.17991208,36.272200590000004,34.51443028,33.98574509,34.68282487,34.47157906,34.05813068,33.861419950000005,32.15156945,31.949416199999998,33.25042639,35.65326777000001,35.280277670000004,35.76007181,35.22424172,33.67754324,36.365864280000004,34.90170112,32.26775689,34.41502082,33.249126780000005,34.08376813,34.657124630000006,34.92132139,35.28905705,31.31265143,34.958166979999994,35.60065357,34.923503020000005,34.91794275,37.06758372,36.176592240000005,36.163224490000005,33.904905310000004,34.429527,36.06051172,36.38790345,36.72876746,37.19335035,35.902921649999996,36.80448415,36.29197412,34.91972664,34.13653045,33.43532011,34.35951916,35.13325178,37.54623335,41.29570227000001,40.93900964,37.839667549999994,42.27061766,40.58296662,43.85443574,43.08530261,41.20849792,39.79079522999999,43.974395969999996,40.184793469999995,40.34250147,40.56314301,44.72057347,41.2059877,46.219584770000004,43.074266619999996,44.84146862,41.34433325,41.34880915,42.35751472,41.33890346,39.20238523,43.321011479999996,43.66940997,44.13947701,45.12241542,45.76326353,45.838906810000005,45.53693202,44.07499972,46.98543704,42.06984568,42.13753629,42.61227289,41.70528612,44.75000328,45.625574799999995,47.25486059000001,45.694578240000006,48.499950850000005,47.371013950000005,46.0871696,44.41669703,43.95941165,41.68279639,42.89677959,46.48252494,43.16585062,46.984022329999995,46.412837020000005,46.35332161,47.76633204,47.34251036,48.96437084,47.75659017,45.50943996,48.012434520000006,45.500460479999994,48.132921,48.06198629,48.9548621,47.40412798,49.250389909999996,50.52883327,46.51983566,48.461986079999996,47.851900310000005,45.277060119999994,49.46946464,47.56555204,48.209418299999996,49.67699837,52.62212454,50.899685240000004,52.995900799999994,52.44867567,51.13988440999999,51.55434317,50.51964121,50.83560688,50.63058439,50.725074219999996,47.00998582,45.0485417,46.44210189,54.99975422999999,56.0253857,61.72804389,56.70884806,59.17158867,56.99074142,50.980310200000005,52.3268836,56.30244896,68.43145704999999,78.63477904000001,87.02418065,110.34228604,90.87076848999999,80.20368973000001,81.20136306,57.918645090000005,58.774701119999996,55.74093064,59.20697142,56.97718447,58.789242030000004,59.91371012,60.55318476,61.95953104,61.475329200000004,64.24379313,58.05363124,62.34945313,60.22215755,62.702932759999996,61.623857380000004,58.28891559,61.73986361,63.86402175,65.26796841,63.34754082,63.56525861,51.50113705
52 Goiás,15.310637289999999,22.25866868,21.44251575,20.92121245,21.615970670000003,18.270043870000002,20.540517129999998,20.65073067,20.86844356,20.62142304,17.0945801,21.61556161,20.67855205,23.043942780000002,23.33431245,23.50810816,23.94760691,24.36984815,24.57712664,24.372626649999997,25.22784574,24.7466869,24.6289585,25.52461537,23.35238022,23.520045070000002,25.36972589,24.40441742,24.98774586,24.95439109,25.71160113,27.19878835,26.67212445,24.96487171,25.67113581,25.26071305,25.17149379,26.40174502,29.060487719999998,28.09123529,27.75662795,26.664943440000002,27.54480674,28.147924489999998,28.97013386,27.44381346,27.361622620000002,26.78215886,25.85770564,27.57820983,28.90314815,27.88837486,28.50854681,27.39437904,27.65014673,27.972257239999998,27.59338091,28.22539395,30.257205980000002,28.21906548,28.347476370000003,28.863363940000003,29.21982784,33.852630829999995,33.590436,31.12504403,32.96184949,32.74489952,32.463384149999996,31.05940038,33.423742170000004,31.21405141,31.924189809999998,30.61541246,30.729287199999998,32.78908122,34.12946573,32.39530579,34.486077689999995,34.263783329999995,33.627178189999995,37.301012990000004,34.13335961,34.54958284000001,33.44084145,31.98697473,37.406713509999996,36.037996490000005,35.411348700000005,35.037055280000004,35.10663253,34.8478054,35.12433971,34.87213096,37.247032350000005,33.761371020000006,32.68123132,33.68606372,36.509450009999995,34.72269939,33.43819346,36.01175029,32.79448312,37.294503399999996,34.82473059,32.9011693,32.2900178,33.45668943,32.130522230000004,32.01220614,34.55188435,36.41518179,36.185213950000005,35.06157461,34.37409665,35.31425406,35.4522318,34.270824,34.45638452,34.33131698,32.75650063,29.75282571,35.35323897,33.12699454,33.32191656,35.5369373,35.00995387,33.89928636,33.93653521,34.48271913,33.69564606,36.347762270000004,35.16266551,33.658226729999996,36.73325384,36.26037454,38.15998689,37.23691846,37.76922709,37.979735240000004,37.47076739,37.337272340000005,35.73485579,34.8793737,35.79487464,35.04814129,34.84393815999999,30.93223673,34.40694517,36.10161985,40.617188840000004,46.248805850000004,44.920822380000004,45.56415675,43.10204072,44.31060597,46.516938859999996,44.405057979999995,58.04254789,63.38006796,60.776098700000006,64.91649240999999,72.75232043999999,72.46823827,67.29496598,58.384780119999995,43.4916124,44.80574859,45.80606207,41.94007089,42.007056590000005,41.11483846,42.762295359999996,37.974022409999996,46.16428776,44.55206421,44.12976847,43.98470553,43.049856520000006,43.60920127,45.80862983,43.49803128,47.66549363,45.98041499,49.79047536,44.02266478,51.77601628,47.49383659
